date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2021-07-04,25,20.55,20.6,16.2,29,,89,66.2,65.5,42,17.1,13.7,12.2,7.4,17,11.96,11,5,27,13,101.47,101.29,101.26,101.04,99.41,99.23,99.2,98.99,24100,24100,24100,24100,,,,,0,2.6,15.6,13.6,10.6,0,0,0,,5:41:00,1625391660,5.68,21:03:00,1625446980,21.05,15.37,9,9,25,25,18,19,,,,,,8,3.4,4.5,1,,,,
2021-07-05,32.3,24.17,25.5,18.7,41,,78,68.7,65.5,53,22.5,18.1,17.9,13.2,29,14.04,17,5,44,23,101.48,101.27,101.24,101,99.42,99.22,99.19,98.97,24100,24100,24100,24100,,,,,0,7.5,20.5,18.5,15.5,0,0,0,,5:42:00,1625478120,5.7,21:02:00,1625533320,21.03,15.33,9,9,32,32,24,25,,,,,,8,5,4.5,1,,,,
2021-07-06,32.3,27.5,27.45,22.6,37,,83,59.6,62,41,21.3,18.5,18.7,16.1,34,19.25,19.5,5,58,30,101.39,101.24,101.22,101.06,99.36,99.21,99.19,99.03,24100,22766.7,20100,16100,,,,,0,9.4,22.4,20.4,17.4,0,0,0,,5:43:00,1625564580,5.72,21:02:00,1625619720,21.03,15.32,9,9,33,33,20,20,,,,,,8,5.6,5,2,,,,
2021-07-07,24.4,19.75,20.35,16.3,30,,94,80.9,78,62,19.1,16.3,16.2,13.4,29,13.38,18,7,36,36,101.57,101.48,101.44,101.31,99.51,99.43,99.39,99.27,24100,22362.5,15250,6400,,,,,0,2.4,15.3,13.3,10.3,9.8,9.8,0,,5:43:00,1625650980,5.72,21:02:00,1625706120,21.03,15.32,5,6,22,22,13,15,,,,,,8,7.9,7.5,7,,,,
2021-07-08,18.7,16.72,16.89,15.1,,,97,88.6,86.5,76,17.5,14.8,14.6,11.6,14,8.58,8.5,3,,,101.45,101.22,101.25,101.05,99.38,99.15,99.18,98.98,24100,15625,15250,6400,,,,,1.1,0,11.9,9.9,6.9,29,29,0,,5:44:00,1625737440,5.73,21:01:00,1625792460,21.02,15.28,3,3,19,19,17,17,,,,,,8,7.9,7.5,7,,,,
2021-07-09,19.5,18.06,17.64,15.8,,,99,87.9,90,81,18,16,15.8,13.7,26,14.42,13.5,1,39,35,101.77,101.35,101.41,101.06,99.69,99.28,99.34,98.99,24100,19729.2,13050,2000,,,,,0.4,0,12.6,10.6,7.6,0,0,0,,5:45:00,1625823900,5.75,21:01:00,1625878860,21.02,15.27,5,5,22,22,16,17,,,,,,8,7.6,6.5,5,,,,
2021-07-10,23.6,19.59,18.3,13,26,,87,64.1,66,45,14.3,12.3,12.4,10.6,18,11.33,11,4,28,14,101.94,101.81,101.83,101.72,99.86,99.73,99.76,99.65,24100,24100,24100,24100,,,,,0,0.3,13.3,11.3,8.3,0,0,0,,5:46:00,1625910360,5.77,21:00:00,1625965200,21,15.23,8,8,24,24,15,15,,,,,,6,3.4,3.5,1,,,,
2021-07-11,21.1,19.26,18.6,16.1,27,,89,78.1,79.5,70,18.4,15.4,15.5,12.6,16,10.21,9.5,3,,,101.81,101.74,101.74,101.68,99.73,99.67,99.67,99.61,24100,22700,20100,16100,,,,,0,0.6,13.6,11.6,8.6,1.4,1.4,0,,5:46:00,1625996760,5.77,21:00:00,1626051600,21,15.23,3,9,23,23,19,19,,,,,,8,7.5,6.5,5,,,,
2021-07-12,25,21.5,21.85,18.7,30,,90,75.9,74.5,59,17.9,17,16.8,15.6,22,13.75,14.5,7,36,11,102.09,101.96,101.93,101.78,100.02,99.89,99.86,99.71,24100,24100,24100,24100,,,,,0,3.8,16.9,14.8,11.8,0,0,0,,5:47:00,1626083220,5.78,20:59:00,1626137940,20.98,15.2,5,5,22,22,20,20,,,,,,8,7.2,7,6,,,,
2021-07-13,26.9,22.92,23.29,19.7,36,,93,84.5,83.5,74,22.8,20.2,19.9,17,19,10.38,11,3,39,20,101.94,101.75,101.73,101.52,99.87,99.69,99.67,99.47,24100,18433.3,16100,8100,,,,,0,5.3,18.3,16.3,13.3,8.8,8.8,0,,5:48:00,1626169680,5.8,20:59:00,1626224340,20.98,15.18,5,5,28,28,20,20,,,,,,8,7.2,7,6,,,,
